gen,nevals,avg,min,max
21,78,[148.73333333  27.52222222],[-1000.     5.],[ 175. 1000.]
22,66,[174.92222222   5.07777778],[173.   5.],[175.   7.]
23,76,[135.71111111  38.28888889],[-1000.     5.],[ 175. 1000.]
24,72,[148.74444444  27.48888889],[-1000.     5.],[ 175. 1000.]
25,78,[109.55555556  60.66666667],[-1000.     5.],[ 175. 1000.]
26,73,[148.73333333  27.31111111],[-1000.     5.],[ 175. 1000.]
27,66,[174.9          5.15555556],[172.   5.],[175.   9.]
28,74,[148.81111111  27.24444444],[-1000.     5.],[ 175. 1000.]
29,70,[148.86666667  27.28888889],[-1000.     5.],[ 175. 1000.]
30,74,[161.9         16.15555556],[-1000.     5.],[ 175. 1000.]
31,79,[148.84444444  27.24444444],[-1000.     5.],[ 175. 1000.]
32,80,[148.84444444  27.21111111],[-1000.     5.],[ 175. 1000.]
33,70,[148.85555556  27.15555556],[-1000.     5.],[ 175. 1000.]
34,78,[161.85555556  16.24444444],[-1000.     5.],[ 175. 1000.]
35,77,[174.95555556   5.11111111],[173.   5.],[175.   8.]
36,77,[161.82222222  16.17777778],[-1000.     5.],[ 175. 1000.]
37,86,[148.85555556  27.16666667],[-1000.     5.],[ 175. 1000.]
38,70,[161.94444444  16.1       ],[-1000.     5.],[ 175. 1000.]
39,76,[161.9         16.08888889],[-1000.     5.],[ 175. 1000.]
40,77,[135.8  38.2],[-1000.     5.],[ 175. 1000.]
41,79,[148.85555556  27.16666667],[-1000.     5.],[ 175. 1000.]
42,76,[148.82222222  27.21111111],[-1000.     5.],[ 175. 1000.]
43,73,[175.           5.02222222],[175.   5.],[175.   7.]
44,72,[174.95555556   5.24444444],[173.   5.],[175.  16.]
45,71,[148.84444444  27.16666667],[-1000.     5.],[ 175. 1000.]
46,78,[148.85555556  27.2       ],[-1000.     5.],[ 175. 1000.]
47,68,[174.93333333   5.06666667],[172.   5.],[175.   9.]
48,79,[161.92222222  16.22222222],[-1000.     5.],[ 175. 1000.]
49,75,[161.87777778  16.11111111],[-1000.     5.],[ 175. 1000.]
50,77,[175.   5.],[175.   5.],[175.   5.]
51,71,[148.87777778  27.13333333],[-1000.     5.],[ 175. 1000.]
52,75,[174.96666667   5.07777778],[173.   5.],[175.   9.]
53,74,[148.83333333  27.48888889],[-1000.     5.],[ 175. 1000.]
54,70,[148.83333333  27.23333333],[-1000.     5.],[ 175. 1000.]
55,72,[161.91111111  16.13333333],[-1000.     5.],[ 175. 1000.]
56,80,[161.91111111  16.11111111],[-1000.     5.],[ 175. 1000.]
57,72,[148.86666667  27.14444444],[-1000.     5.],[ 175. 1000.]
58,64,[175.           5.01111111],[175.   5.],[175.   6.]
59,72,[175.           5.04444444],[175.   5.],[175.   7.]
60,68,[174.98888889   5.01111111],[174.   5.],[175.   6.]
,,,,
