gen,nevals,avg,min,max
20,44,30.25,5.0,1000.0
21,51,17.5,5.0,1000.0
22,48,17.5125,5.0,1000.0
23,48,17.65,5.0,1000.0
24,45,17.625,5.0,1000.0
25,48,5.15,5.0,10.0
26,42,5.1625,5.0,17.0
27,42,5.0625,5.0,7.0
28,44,17.4375,5.0,1000.0
29,38,5.1375,5.0,10.0
30,50,17.5125,5.0,1000.0
31,51,17.475,5.0,1000.0
32,44,17.4375,5.0,1000.0
33,48,17.575,5.0,1000.0
34,39,5.075,5.0,8.0
35,41,29.9,5.0,1000.0
36,45,5.025,5.0,7.0
37,34,5.1125,5.0,12.0
38,32,29.9375,5.0,1000.0
39,48,5.0,5.0,5.0
40,33,5.0125,5.0,6.0
41,40,17.875,5.0,1000.0
42,40,5.1375,5.0,9.0
43,41,5.0375,5.0,8.0
44,41,17.4625,5.0,1000.0
45,40,5.1375,5.0,10.0
46,46,17.6625,5.0,1000.0
47,46,17.6125,5.0,1000.0
48,35,17.4375,5.0,1000.0
49,46,5.0125,5.0,6.0
50,36,17.55,5.0,1000.0
51,42,5.0375,5.0,8.0
52,40,5.0875,5.0,9.0
53,39,17.5,5.0,1000.0
54,43,5.0,5.0,5.0
55,49,5.225,5.0,17.0
56,49,17.45,5.0,1000.0
57,41,17.475,5.0,1000.0
58,43,5.0625,5.0,8.0
59,47,5.0,5.0,5.0
60,30,5.0,5.0,5.0
,,,,
gen,nevals,avg,min,max
0,80,764.7,7.0,1000.0
1,40,132.9625,7.0,1000.0
2,58,58.0875,6.0,1000.0
3,48,57.1625,6.0,1000.0
4,47,94.825,6.0,1000.0
5,62,118.55,6.0,1000.0
6,46,44.5625,6.0,1000.0
7,52,68.5125,6.0,1000.0
8,52,81.1,6.0,1000.0
9,55,68.9125,6.0,1000.0
10,55,55.925,6.0,1000.0
11,50,56.5625,6.0,1000.0
12,56,93.2375,6.0,1000.0
13,45,18.7625,6.0,1000.0
14,44,6.25,6.0,14.0
15,46,44.3875,6.0,1000.0
16,55,31.1375,6.0,1000.0
17,56,43.65,6.0,1000.0
18,57,81.2375,6.0,1000.0
19,54,6.225,6.0,12.0
20,56,6.1625,6.0,8.0
21,51,68.275,6.0,1000.0
22,46,6.0875,6.0,12.0
23,59,31.1,6.0,1000.0
24,51,18.9,6.0,1000.0
25,53,18.8,6.0,1000.0
26,46,18.5125,6.0,1000.0
27,64,6.1375,6.0,16.0
28,47,6.1,6.0,10.0
29,57,18.425,6.0,1000.0
30,50,6.2125,6.0,21.0
31,47,6.1,6.0,13.0
32,49,18.5,6.0,1000.0
33,49,6.2125,6.0,16.0
34,57,18.4875,6.0,1000.0
35,35,18.425,6.0,1000.0
36,40,6.0125,6.0,7.0
37,56,18.45,6.0,1000.0
38,63,6.0875,6.0,13.0
39,53,6.125,6.0,10.0
40,53,18.4875,6.0,1000.0
41,40,18.45,6.0,1000.0
42,50,18.475,6.0,1000.0
43,49,6.0,6.0,6.0
44,46,30.875,6.0,1000.0
45,54,30.925,6.0,1000.0
46,45,18.45,6.0,1000.0
47,50,6.0375,6.0,8.0
48,52,30.875,6.0,1000.0
49,52,6.1,6.0,12.0
50,54,6.0,6.0,6.0
51,55,6.025,6.0,7.0
52,49,18.45,6.0,1000.0
53,46,18.425,6.0,1000.0
54,52,6.0125,6.0,7.0
55,51,6.0,6.0,6.0
56,49,18.425,6.0,1000.0
57,46,18.45,6.0,1000.0
58,36,6.025,6.0,8.0
59,45,6.0375,6.0,9.0
60,47,6.025,6.0,8.0
,,,,
gen,nevals,avg,min,max
0,80,826.7875,7.0,1000.0
1,58,244.8875,7.0,1000.0
2,54,69.7375,6.0,1000.0
3,53,44.675,6.0,1000.0
4,57,93.725,6.0,1000.0
5,56,43.725,6.0,1000.0
6,60,43.475,6.0,1000.0
7,62,31.1625,6.0,1000.0
8,55,6.275,6.0,13.0
9,53,43.6625,6.0,1000.0
10,52,31.0125,6.0,1000.0
11,63,18.625,6.0,1000.0
12,66,18.775,6.0,1000.0
13,58,6.1875,6.0,9.0
14,63,18.4375,6.0,1000.0
15,60,18.4375,6.0,1000.0
16,66,30.9,6.0,1000.0
17,52,6.0,6.0,6.0
18,50,6.05,6.0,7.0
19,41,6.0375,6.0,7.0
20,50,18.5125,6.0,1000.0
21,51,6.1,5.0,8.0
22,47,5.9125,5.0,7.0
23,54,5.575,5.0,13.0
24,54,29.975,5.0,1000.0
25,50,5.2,5.0,16.0
26,55,30.0625,5.0,1000.0
