gen,nevals,avg,min,max
16,70,[106.          23.04761905],[106.  23.],[106.  25.]
17,64,[106.          23.02380952],[106.  23.],[106.  25.]
18,57,[105.95238095  23.07142857],[102.  23.],[106.  27.]
19,58,[92.82142857 34.69047619],[-1000.    23.],[ 106. 1000.]
20,61,[105.97619048  23.04761905],[104.  23.],[106.  25.]
21,62,[106.  23.],[106.  23.],[106.  23.]
22,57,[92.83333333 34.6547619 ],[-1000.    23.],[ 106. 1000.]
23,65,[105.98809524  23.05952381],[105.  23.],[106.  25.]
24,54,[106.  23.],[106.  23.],[106.  23.]
25,58,[106.          23.04761905],[106.  23.],[106.  25.]
26,63,[106.          23.07142857],[106.  23.],[106.  27.]
27,66,[105.95238095  23.04761905],[102.  23.],[106.  27.]
28,63,[106.          23.02380952],[106.  23.],[106.  25.]
29,67,[105.95238095  23.07142857],[102.  23.],[106.  27.]
30,69,[92.80952381 34.72619048],[-1000.    23.],[ 106. 1000.]
31,62,[106.          23.02380952],[106.  23.],[106.  25.]
32,59,[106.          23.07142857],[106.  23.],[106.  27.]
33,66,[92.83333333 34.63095238],[-1000.    23.],[ 106. 1000.]
34,65,[105.94047619  23.08333333],[101.  23.],[106.  26.]
35,61,[106.          23.04761905],[106.  23.],[106.  27.]
36,63,[106.  23.],[106.  23.],[106.  23.]
37,61,[106.  23.],[106.  23.],[106.  23.]
38,59,[105.98809524  23.07142857],[105.  23.],[106.  27.]
39,63,[106.          23.04761905],[106.  23.],[106.  25.]
40,61,[106.  23.],[106.  23.],[106.  23.]
41,61,[106.          23.02380952],[106.  23.],[106.  25.]
42,59,[106.          23.02380952],[106.  23.],[106.  25.]
43,55,[106.          23.04761905],[106.  23.],[106.  27.]
44,64,[92.83333333 34.63095238],[-1000.    23.],[ 106. 1000.]
45,63,[92.83333333 34.63095238],[-1000.    23.],[ 106. 1000.]
46,60,[105.98809524  23.03571429],[105.  23.],[106.  26.]
47,57,[92.83333333 34.67857143],[-1000.    23.],[ 106. 1000.]
48,62,[106.  23.],[106.  23.],[106.  23.]
49,66,[106.  23.],[106.  23.],[106.  23.]
50,65,[106.  23.],[106.  23.],[106.  23.]
51,60,[106.  23.],[106.  23.],[106.  23.]
52,60,[106.          23.04761905],[106.  23.],[106.  27.]
53,65,[105.95238095  23.        ],[102.  23.],[106.  23.]
54,66,[105.92857143  23.02380952],[100.  21.],[106.  27.]
55,66,[106.  23.],[106.  23.],[106.  23.]
56,59,[106.  23.],[106.  23.],[106.  23.]
57,51,[106.          23.02380952],[106.  23.],[106.  25.]
58,58,[106.  23.],[106.  23.],[106.  23.]
59,68,[106.  23.],[106.  23.],[106.  23.]
60,66,[106.  23.],[106.  23.],[106.  23.]
,,,,
gen,nevals,avg,min,max
0,84,[-645.04761905  686.80952381],[-1000.    21.],[ 106. 1000.]
1,62,[-52.98809524 164.94047619],[-1000.    21.],[ 106. 1000.]
2,68,[26.54761905 95.57142857],[-1000.    24.],[ 106. 1000.]
3,61,[39.94047619 83.58333333],[-1000.    24.],[ 106. 1000.]
4,59,[105.80952381  24.77380952],[102.  24.],[106.  26.]
5,60,[105.6547619   24.67857143],[95. 22.],[106.  46.]
6,59,[105.76190476  24.51190476],[92. 22.],[106.  50.]
7,70,[105.71428571  24.95238095],[102.  23.],[106.  93.]
8,62,[105.94047619  24.08333333],[104.  24.],[106.  26.]
9,64,[105.72619048  24.78571429],[100.  21.],[106.  77.]
10,64,[105.75        24.27380952],[102.  22.],[106.  37.]
11,67,[105.66666667  23.94047619],[100.  20.],[106.  25.]
12,71,[105.85714286  23.95238095],[102.  22.],[106.  27.]
13,69,[105.86904762  23.48809524],[100.  22.],[106.  27.]
14,68,[105.77380952  22.54761905],[102.  20.],[106.  33.]
15,64,[92.76190476 33.85714286],[-1000.    21.],[ 106. 1000.]
16,61,[105.75        22.19047619],[99. 21.],[106.  27.]
17,59,[105.9047619   22.17857143],[104.  20.],[106.  26.]
18,66,[105.8452381   22.04761905],[102.  21.],[106.  24.]
19,67,[105.75        22.17857143],[101.  20.],[106.  27.]
20,59,[105.94047619  22.        ],[104.  21.],[106.  25.]
21,71,[105.79761905  22.30952381],[100.  21.],[106.  70.]
22,57,[105.9047619   21.69047619],[102.  21.],[106.  44.]
23,67,[105.76190476  21.25      ],[100.  21.],[106.  29.]
24,70,[105.8452381   21.17857143],[96. 20.],[106.  29.]
25,65,[105.83333333  21.6547619 ],[99. 21.],[106.  69.]
26,69,[105.9047619   21.11904762],[98. 21.],[106.  26.]
27,58,[105.96428571  20.98809524],[104.  19.],[106.  22.]
28,63,[105.9047619  21.0952381],[100.  21.],[106.  26.]
29,65,[105.88095238  21.19047619],[102.  19.],[106.  25.]
30,66,[105.95238095  21.07142857],[104.  21.],[106.  25.]
31,63,[105.94047619  21.05952381],[102.  21.],[106.  23.]
32,64,[105.94047619  21.46428571],[103.  19.],[106.  43.]
33,65,[105.96428571  21.17857143],[105.  21.],[106.  28.]
34,56,[106.          21.04761905],[106.  21.],[106.  23.]
35,62,[105.95238095  21.04761905],[104.  21.],[106.  23.]
36,60,[105.98809524  21.04761905],[105.  21.],[106.  25.]
37,68,[105.89285714  21.1547619 ],[101.  21.],[106.  25.]
38,55,[106.  21.],[106.  21.],[106.  21.]
39,55,[105.97619048  21.21428571],[105.  21.],[106.  35.]
40,58,[105.97619048  21.02380952],[104.  21.],[106.  22.]
41,61,[105.92857143  21.10714286],[103.  21.],[106.  26.]
42,59,[105.98809524  21.05952381],[105.  21.],[106.  25.]
43,63,[105.94047619  21.04761905],[104.  21.],[106.  23.]
44,62,[105.86904762  21.04761905],[102.  19.],[106.  25.]
45,63,[105.94047619  21.07142857],[102.  21.],[106.  25.]
46,62,[105.92857143  21.01190476],[101.  21.],[106.  22.]
47,68,[106.          21.04761905],[106.  21.],[106.  23.]
48,56,[106.          21.03571429],[106.  21.],[106.  23.]
49,63,[106.          21.28571429],[106.  21.],[106.  45.]
50,69,[106.          21.03571429],[106.  21.],[106.  23.]
51,62,[106.          21.04761905],[106.  21.],[106.  23.]
52,64,[105.94047619  21.05952381],[104.  21.],[106.  23.]
53,68,[105.96428571  21.03571429],[104.  21.],[106.  23.]
54,63,[105.97619048  21.01190476],[104.  21.],[106.  22.]
55,62,[105.94047619  21.14285714],[104.  19.],[106.  26.]
56,60,[105.95238095  21.04761905],[102.  21.],[106.  23.]
57,51,[106.          21.02380952],[106.  21.],[106.  23.]
58,61,[105.97619048  21.05952381],[104.  21.],[106.  26.]
59,54,[106.  21.],[106.  21.],[106.  21.]
60,61,[106.  21.],[106.  21.],[106.  21.]
,,,,
gen,nevals,avg,min,max
0,84,[-644.95238095  686.73809524],[-1000.    21.],[ 106. 1000.]
1,61,[-66.20238095 176.14285714],[-1000.    18.],[ 106. 1000.]
2,66,[26.42857143 93.71428571],[-1000.    19.],[ 106. 1000.]
3,68,[  0.3452381  115.64285714],[-1000.    19.],[ 106. 1000.]
4,61,[92.6547619 32.       ],[-1000.    18.],[ 106. 1000.]
5,61,[92.72619048 30.86904762],[-1000.    18.],[ 106. 1000.]
6,66,[79.41666667 43.0952381 ],[-1000.    19.],[ 106. 1000.]
7,58,[105.96428571  19.38095238],[104.  18.],[106.  27.]
8,71,[105.94047619  19.19047619],[104.  18.],[106.  24.]
9,74,[105.92857143  19.23809524],[102.  19.],[106.  24.]
10,64,[106.         19.0952381],[106.  19.],[106.  25.]
11,63,[79.63095238 42.4047619 ],[-1000.    18.],[ 106. 1000.]
12,58,[92.83333333 30.73809524],[-1000.    19.],[ 106. 1000.]
13,59,[105.92857143  19.11904762],[104.  19.],[106.  25.]
14,64,[106.          19.11904762],[106.  19.],[106.  24.]
15,61,[105.88095238  19.14285714],[101.  19.],[106.  27.]
16,58,[92.78571429 30.86904762],[-1000.    19.],[ 106. 1000.]
17,57,[92.73809524 30.67857143],[-1000.    19.],[ 106. 1000.]
18,64,[106.          19.02380952],[106.  19.],[106.  21.]
19,62,[105.88095238  19.66666667],[104.  18.],[106.  62.]
20,67,[79.66666667 42.35714286],[-1000.    19.],[ 106. 1000.]
21,59,[106.  19.],[106.  19.],[106.  19.]
22,67,[92.80952381 30.73809524],[-1000.    19.],[ 106. 1000.]
23,57,[105.86904762  19.48809524],[101.  19.],[106.  50.]
24,64,[105.96428571  19.03571429],[104.  19.],[106.  21.]
25,63,[66.5        54.14285714],[-1000.    19.],[ 106. 1000.]
26,61,[92.79761905 30.69047619],[-1000.    18.],[ 106. 1000.]
27,68,[105.97619048  19.08333333],[104.  19.],[106.  24.]
28,73,[105.96428571  19.13095238],[104.  19.],[106.  24.]
29,62,[105.95238095  19.        ],[102.  19.],[106.  19.]
30,69,[106.  19.],[106.  19.],[106.  19.]
31,60,[92.83333333 30.75      ],[-1000.    19.],[ 106. 1000.]
32,65,[106.  19.],[106.  19.],[106.  19.]
33,70,[106.  19.],[106.  19.],[106.  19.]
34,57,[106.  19.],[106.  19.],[106.  19.]
35,65,[106.  19.],[106.  19.],[106.  19.]
36,62,[106.  19.],[106.  19.],[106.  19.]
37,60,[106.  19.],[106.  19.],[106.  19.]
38,63,[106.          19.05952381],[106.  19.],[106.  24.]
39,70,[105.97619048  18.97619048],[104.  17.],[106.  19.]
40,60,[106.  19.],[106.  19.],[106.  19.]
41,67,[105.97619048  19.07142857],[104.  19.],[106.  25.]
42,64,[106.  19.],[106.  19.],[106.  19.]
43,68,[106.  19.],[106.  19.],[106.  19.]
44,60,[106.  19.],[106.  19.],[106.  19.]
45,60,[106.  19.],[106.  19.],[106.  19.]
46,60,[105.91666667  19.13095238],[100.  19.],[106.  29.]
47,65,[106.  19.],[106.  19.],[106.  19.]
48,64,[106.          19.02380952],[106.  19.],[106.  21.]
49,62,[106.  19.],[106.  19.],[106.  19.]
50,66,[105.92857143  19.05952381],[100.  19.],[106.  24.]
51,69,[106.  19.],[106.  19.],[106.  19.]
52,63,[105.97619048  19.        ],[104.  19.],[106.  19.]
53,68,[106.          19.07142857],[106.  19.],[106.  25.]
54,66,[106.          19.05952381],[106.  19.],[106.  24.]
55,65,[106.  19.],[106.  19.],[106.  19.]
56,73,[105.97619048  19.        ],[104.  19.],[106.  19.]
57,57,[106.          19.05952381],[106.  19.],[106.  24.]
58,70,[92.83333333 30.67857143],[-1000.    19.],[ 106. 1000.]
59,71,[105.97619048  19.03571429],[104.  19.],[106.  22.]
60,63,[106.          19.05952381],[106.  19.],[106.  24.]
,,,,
gen,nevals,avg,min,max
0,84,[-579.4047619   628.79761905],[-1000.    19.],[ 106. 1000.]
1,62,[25.8452381  96.01190476],[-1000.    21.],[ 106. 1000.]
2,75,[53.         71.76190476],[-1000.    21.],[ 106. 1000.]
3,61,[105.86904762  24.69047619],[104.  23.],[106.  27.]
4,55,[105.92857143  23.85714286],[104.  23.],[106.  35.]
